Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Congenital malformations of cardiac septa,K094,Repair of persistent ostium primum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K095,Primary repair of defect of atrioventricular septum NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K096,Revision of repair of defect of atrioventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K098,Other specified repair of defect of atrioventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K099,Unspecified repair of defect of atrioventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K10,Repair of defect of interatrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K101,Repair of defect of interatrial septum using prosthetic patch,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K102,Repair of defect of interatrial septum using pericardial patch,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K103,Repair of defect of interatrial septum using tissue graft NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K104,Primary repair of defect of interatrial septum NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K105,Revision of repair of defect of interatrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K108,Other specified repair of defect of interatrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K109,Unspecified repair of defect of interatrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K11,Repair of defect of interventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K111,Repair of defect of interventricular septum using prosthetic patch,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K112,Repair of defect of interventricular septum using pericardial patch,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K113,Repair of defect of interventricular septum using tissue graft NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K114,Primary repair of defect of interventricular septum NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K115,Revision of repair of defect of interventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K116,Repair of multiple interventricular septal defects,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K117,Repair of interventricular septal defect using intraoperative transluminal prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K118,Other specified repair of defect of interventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K119,Unspecified repair of defect of interventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K12,Repair of defect of unspecified septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K121,Repair of defect of septum of heart using prosthetic patch NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K122,Repair of defect of septum of heart using pericardial patch NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K123,Repair of defect of septum of heart using tissue graft NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K124,Primary repair of defect of septum of heart NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K125,Revision of repair of septum of heart NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K128,Other specified repair of defect of unspecified septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K129,Unspecified repair of defect of unspecified septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K13,Transluminal repair of defect of septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K131,Percutaneous transluminal repair of defect of interventricular septum using prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K132,Percutaneous transluminal repair of defect of interventricular septum NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K133,Percutaneous transluminal repair of defect of interatrial septum using prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K134,Percutaneous transluminal repair of defect of interatrial septum NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K135,Percutaneous transluminal repair of defect of unspecified septum using prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K138,Other specified transluminal repair of defect of septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K139,Unspecified transluminal repair of defect of septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K14,Other open operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K141,Open enlargement of defect of atrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K142,Open atrial septostomy,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K143,Atrial septectomy,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K144,Surgical atrial septation,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K145,Open enlargement of defect of interventricular septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K148,Other specified other open operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K149,Unspecified other open operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K15,Closed operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K151,Closed enlargement of defect of atrial septum,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K152,Closed atrial septostomy,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K158,Other specified closed operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K159,Unspecified closed operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K16,Other therapeutic transluminal operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K161,Percutaneous transluminal balloon atrial septostomy,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K162,Percutaneous transluminal atrial septostomy NEC,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K163,Percutaneous transluminal atrial septum fenestration closure with prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K164,Percutaneous transluminal atrial septum fenestration,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K165,Percutaneous transluminal closure of patent oval foramen with prosthesis,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K166,Percutaneous transluminal chemical mediated septal ablation,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K168,Other specified other therapeutic transluminal operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Congenital malformations of cardiac septa,K169,Unspecified other therapeutic transluminal operations on septum of heart,Procedure for Congenital malformations of cardiac septa,,
Dilated cardiomyopathy,,,Diagnosis of Dilated cardiomyopathy,I420,Dilated cardiomyopathy
Dilated cardiomyopathy,,,Diagnosis of Dilated cardiomyopathy,I426,Alcoholic cardiomyopathy
Primary Malignancy_Oesophageal,,,Diagnosis of Primary Malignancy_Oesophageal,C15,Malignant neoplasm of oesophagus
Diaphragmatic hernia,,,Diagnosis of Diaphragmatic hernia,K44,Diaphragmatic hernia
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D80,Immunodeficiency with predominantly antibody defects
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D81,Combined immunodeficiencies
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D82,Immunodeficiency associated with other major defects
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D83,Common variable immunodeficiency
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D840,Lymphocyte function antigen-1 [LFA-1] defect
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D848,Other specified immunodeficiencies
Immunodeficiencies,,,Diagnosis of Immunodeficiencies,D849,"Immunodeficiency, unspecified"
Syndrome of inappropriate secretion of antidiuretic hormone,,,Diagnosis of SIADH,E222,Syndrome of inappropriate secretion of antidiuretic hormone
Neuromuscular dysfunction of bladder,,,Diagnosis of Neuromuscular dysfunction of bladder,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
"Benign neoplasm of colon, rectum, anus and anal canal",,,"Diagnosis of Benign neoplasm of colon, rectum, anus and anal canal",D12,"Benign neoplasm of colon, rectum, anus and anal canal"
